condition,variant,digit,aggregation_unit,pair_count,unit_count,target_pcc_mean,target_pcc_sample_std,target_pcc_standard_error,target_pcc_ci95_low,target_pcc_ci95_high,full_canvas_pcc_mean,psnr_mean,ssim_mean
final_epoch_known,R0,0,diffuser,19600,20,0.7847696354,0.0139255676,0.0031138516,0.7786664863,0.7908727845,0.9150278517,14.1167463210,0.8511382551
final_epoch_known,R0,1,diffuser,22700,20,0.8173968663,0.0167873114,0.0037537569,0.8100395027,0.8247542299,0.9265663052,17.6173726218,0.9256012846
final_epoch_known,R0,2,diffuser,20640,20,0.7430873160,0.0129294884,0.0028911215,0.7374207178,0.7487539141,0.8951664896,14.7030227060,0.8623991895
final_epoch_known,R0,3,diffuser,20200,20,0.7580779862,0.0168058323,0.0037578983,0.7507125054,0.7654434670,0.8996763168,14.9388903694,0.8661813774
final_epoch_known,R0,4,diffuser,19640,20,0.7427831593,0.0144933156,0.0032408039,0.7364311836,0.7491351349,0.8945341469,15.5628494558,0.8803779423
final_epoch_known,R0,5,diffuser,17840,20,0.7403250644,0.0147104812,0.0032893636,0.7338779118,0.7467722171,0.8915461176,15.2916069204,0.8695999897
final_epoch_known,R0,6,diffuser,19160,20,0.7199227752,0.0142298316,0.0031818871,0.7136862765,0.7261592739,0.8905549183,14.8857624816,0.8696284490
final_epoch_known,R0,7,diffuser,20560,20,0.7676617146,0.0172874136,0.0038655832,0.7600851716,0.7752382577,0.9051166470,15.8478242514,0.8888943963
final_epoch_known,R0,8,diffuser,19480,20,0.6894810175,0.0154021213,0.0034440190,0.6827307402,0.6962312948,0.8807062520,14.5914079589,0.8610343460
final_epoch_known,R0,9,diffuser,20180,20,0.7322340462,0.0172151841,0.0038494322,0.7246891591,0.7397789333,0.8963802618,15.4442260279,0.8807564825
final_epoch_known,B0,0,diffuser,19600,20,0.6298622873,0.0246374683,0.0055091054,0.6190644408,0.6406601339,0.7208168064,12.4893673293,0.2174922217
final_epoch_known,B0,1,diffuser,22700,20,0.7026563659,0.0289736509,0.0064787053,0.6899581035,0.7153546283,0.6510656565,12.5035691416,0.1607876604
final_epoch_known,B0,2,diffuser,20640,20,0.6685489484,0.0177116776,0.0039604515,0.6607864635,0.6763114334,0.7153754657,12.4930150438,0.1987485777
final_epoch_known,B0,3,diffuser,20200,20,0.6391503252,0.0198023793,0.0044279466,0.6304715498,0.6478291005,0.6911739998,12.4672540034,0.1957941506
final_epoch_known,B0,4,diffuser,19640,20,0.6231699721,0.0215409409,0.0048167008,0.6137292385,0.6326107057,0.6757965371,12.4987500901,0.1815752976
